taxon,DESeq2 mean abundance,lfc,se,Analysis,Comparison
Acidovorax sp000302535,1419.495595,-1.383156624,0.332457147,Visit,Rand-dis
Acidovorax temperans,550.2876761,-1.651419541,0.325680522,Visit,Rand-dis
Acinetobacter johnsonii,110.6961615,0.624325731,0.184918113,Visit,Rand-dis
Acinetobacter pittii,120.9825008,0.763371854,0.186057862,Visit,Rand-dis
Alistipes sp900770635,34.40000052,1.156939423,0.408942628,Visit,Rand-dis
Bifidobacterium animalis,593.3581164,-0.663598089,0.202193876,Visit,Rand-dis
Bifidobacterium dentium,744.9159173,-0.887351631,0.229504948,Visit,Rand-dis
Bradyrhizobium sp000015165,1427.781327,-1.641795974,0.255830134,Visit,Rand-dis
Bradyrhizobium sp003020075,2871.645071,-2.012372129,0.257964955,Visit,Rand-dis
Comamonas kerstersii,532.6015992,-1.112940853,0.231910026,Visit,Rand-dis
Enterococcus gilvus,12712.55289,1.493089558,0.315079001,Visit,Rand-dis
Enterococcus faecium,239026,2.570926728,0.459229699,Visit,Rand-dis
Finegoldia sp900766215,9371.31258,1.158038344,0.385784786,Visit,Rand-dis
Haemophilus influenzae,104.6097588,-0.868017318,0.186911312,Visit,Rand-dis
Haemophilus parainfluenzae,28.08075737,-1.233269313,0.163058438,Visit,Rand-dis
Lancefieldella parvula,116.661908,-0.977448255,0.193199019,Visit,Rand-dis
Lancefieldella sp000564995,175.2564868,-1.501470459,0.21091981,Visit,Rand-dis
Lancefieldella sp900555335,50.53106864,-0.9277288,0.187370066,Visit,Rand-dis
Lancefieldella sp902373375,285.2560454,-1.547455924,0.221903809,Visit,Rand-dis
MGYG000000576,77.6887142,-0.841621986,0.185791935,Visit,Rand-dis
MGYG000001284,59.60216803,-0.84208297,0.187325024,Visit,Rand-dis
MGYG000002842,74.52848305,-0.896941195,0.177972718,Visit,Rand-dis
MGYG000002843,459.9915939,-1.286188712,0.231867697,Visit,Rand-dis
MGYG000003769,475.764,0.977357364,0.239112891,Visit,Rand-dis
MGYG000003879,18.07866635,-0.569858462,0.184339702,Visit,Rand-dis
Pauljensenia sp000278725,22.87810853,-1.058375381,0.178718545,Visit,Rand-dis
Pauljensenia sp900541895,265.4479881,-1.464286517,0.196869916,Visit,Rand-dis
Pauljensenia sp900556405,72.46086278,-0.660897516,0.196893765,Visit,Rand-dis
Pauljensenia sp902373435,509.8082222,-0.786805187,0.218468657,Visit,Rand-dis
Pigmentiphaga sp002188635,331.324396,-1.182396055,0.317274832,Visit,Rand-dis
Pseudomonas putida,103.913,0.705453847,0.200463593,Visit,Rand-dis
Ralstonia pickettii,24886.73133,-1.658424388,0.254922278,Visit,Rand-dis
Staphylococcus warneri,132.2558924,0.671565492,0.21400012,Visit,Rand-dis
Stenotrophomonas maltophilia,238.0346415,2.185422578,0.205824995,Visit,Rand-dis
Stenotrophomonas maltophilia,110.8300641,0.577205498,0.19908535,Visit,Rand-dis
Stenotrophomonas maltophilia,53.88091502,0.88036366,0.184214471,Visit,Rand-dis
Stenotrophomonas maltophilia,64.54224964,0.559408964,0.193259097,Visit,Rand-dis
Stenotrophomonas sp003028475,56.5373383,0.691295949,0.194534212,Visit,Rand-dis
Streptococcus alactolyticus,145.5789048,-1.114148821,0.192789975,Visit,Rand-dis
Streptococcus equinus,90.29641169,-1.150991928,0.181661288,Visit,Rand-dis
Streptococcus gordonii,188.2240181,-1.023259097,0.204518399,Visit,Rand-dis
Streptococcus infantarius,405.6518229,-1.470165841,0.227197732,Visit,Rand-dis
Streptococcus koreensis,194.622638,-1.989258054,0.400350146,Visit,Rand-dis
Streptococcus lutetiensis,2104.579458,-1.680408275,0.253704411,Visit,Rand-dis
Streptococcus mitis,337.6176765,-1.545340852,0.472079571,Visit,Rand-dis
Streptococcus oralis,272.9045409,-1.321266021,0.212252211,Visit,Rand-dis
Streptococcus parasanguinis,891.4275703,-1.228747334,0.244348673,Visit,Rand-dis
Streptococcus parasanguinis,823.1946174,-1.537039936,0.528402526,Visit,Rand-dis
Streptococcus salivarius,6798.763508,-1.545771848,0.255278466,Visit,Rand-dis
Streptococcus sobrinus,57.72157325,-1.406982869,0.181560529,Visit,Rand-dis
Streptococcus sp000187445,44770.35904,-1.803188822,0.331765259,Visit,Rand-dis
Streptococcus sp001556435,5235.186447,-1.478629546,0.345626403,Visit,Rand-dis
Streptococcus sp004166885,150.6730843,-1.06220855,0.213848433,Visit,Rand-dis
Streptococcus sp900543065,3475.557331,-1.206444145,0.290526946,Visit,Rand-dis
Streptococcus sp900555155,136.0760736,-0.736147066,0.19497228,Visit,Rand-dis
Streptococcus sp900755085,1126.741211,-0.822798874,0.257427625,Visit,Rand-dis
Streptococcus sp902363395,144.8947531,-1.059252551,0.210424488,Visit,Rand-dis
Streptococcus sp902373455,362.4749909,-1.151276941,0.23105244,Visit,Rand-dis
Streptococcus vestibularis,4380.97559,-1.633280136,0.266825287,Visit,Rand-dis
UMGS1590 sp900553245,119.7943669,-0.887356455,0.179357105,Visit,Rand-dis
Achromobacter xylosoxidans,410.8330184,-0.881612983,0.300722698,Visit,Rand-fol
Acidovorax sp000302535,1419.495595,-1.713109366,0.235190061,Visit,Rand-fol
Acidovorax temperans,550.2876761,-1.655721646,0.222855489,Visit,Rand-fol
Acinetobacter pittii,120.9825008,0.508721853,0.176311238,Visit,Rand-fol
Agathobacter faecis,1436.093486,1.087295598,0.236861772,Visit,Rand-fol
Alistipes sp001941065,88.84480549,-1.95502915,0.61762726,Visit,Rand-fol
Anaerococcus hydrogenalis,7763.676668,1.08597766,0.290535523,Visit,Rand-fol
Anaerococcus jeddahensis,5798.738749,1.300650083,0.317842832,Visit,Rand-fol
Anaerococcus nagyae,967.7807481,0.938485038,0.24689745,Visit,Rand-fol
Anaerococcus obesiensis,49457.07902,1.408862616,0.382607324,Visit,Rand-fol
Anaerococcus prevotii,26627.7174,1.125121767,0.311248884,Visit,Rand-fol
Anaerococcus rubeinfantis,6974.396909,1.49281816,0.335990722,Visit,Rand-fol
Anaerococcus senegalensis,6439.102919,1.181773714,0.318297214,Visit,Rand-fol
Anaerococcus sp900258475,2314.486116,1.177264541,0.283304656,Visit,Rand-fol
Anaerococcus sp900541365,486.4751553,0.679843881,0.228442243,Visit,Rand-fol
Anaerococcus sp900550345,7471.465285,1.255802301,0.291663592,Visit,Rand-fol
Anaerococcus vaginalis,4330.224703,1.053349025,0.315598203,Visit,Rand-fol
Anaeroglobus micronuciformis,4947.013013,1.886918979,0.563077023,Visit,Rand-fol
Atlantibacter hermannii,172.7950279,-1.339198966,0.411553129,Visit,Rand-fol
Bacteroides caccae,8005.794741,-1.678508806,0.535977745,Visit,Rand-fol
Bacteroides eggerthii,431.2788513,-1.221273732,0.450330213,Visit,Rand-fol
Bacteroides fluxus,341.5185156,-1.463436154,0.397583978,Visit,Rand-fol
Bacteroides gallinarum,293.5827354,-1.148241185,0.425215804,Visit,Rand-fol
Bacteroides ndongoniae,34.4038004,-1.403002705,0.380262033,Visit,Rand-fol
Bacteroides neonati,61.53497834,-1.134054389,0.339667913,Visit,Rand-fol
Bacteroides nordii,683.8992031,-1.460233147,0.453024181,Visit,Rand-fol
Bacteroides oleiciplenus,445.0013914,-1.280333716,0.359451987,Visit,Rand-fol
Bacteroides pyogenes,98.22102031,-1.150361611,0.297468424,Visit,Rand-fol
Bacteroides sp900547205,129.8853024,-1.207673784,0.396336502,Visit,Rand-fol
Bacteroides sp900555635,135.7817531,-0.995829194,0.379918338,Visit,Rand-fol
Bacteroides sp900556215,464.4411054,-1.326575124,0.441480505,Visit,Rand-fol
Bacteroides sp900765785,2831.412092,-1.513757529,0.463060261,Visit,Rand-fol
Bacteroides stercoris,1120.884809,-1.12868287,0.428876701,Visit,Rand-fol
Bacteroides togonis,65.35469775,-1.066854826,0.402757915,Visit,Rand-fol
Bradyrhizobium sp000015165,1427.781327,-1.968125426,0.230542316,Visit,Rand-fol
Bradyrhizobium sp003020075,2871.645071,-2.880719234,0.231040311,Visit,Rand-fol
Butyricimonas sp003479425,59.50133545,-1.62642873,0.517970838,Visit,Rand-fol
CAG-269 sp000435535,8.582802154,0.843017506,0.142051632,Visit,Rand-fol
CAG-279 sp900548875,10.2521195,-1.36712119,0.469091855,Visit,Rand-fol
CAG-831 sp000432775,10.7201392,-0.996960104,0.134612101,Visit,Rand-fol
Cedecea davisae,96.08567809,-1.232307299,0.41953525,Visit,Rand-fol
Chimaeribacter arupi,265.7699919,-1.283139958,0.191945895,Visit,Rand-fol
Citrobacter gillenii,322.5391849,-1.380334638,0.172518837,Visit,Rand-fol
Citrobacter werkmanii,2089.534058,-1.728355604,0.221066085,Visit,Rand-fol
Citrobacter youngae,562.5971828,-1.286239839,0.420734648,Visit,Rand-fol
Citrobacter farmeri,876.1094012,-1.620350543,0.439525502,Visit,Rand-fol
Citrobacter sedlakii,210.5534375,-1.314009598,0.401849718,Visit,Rand-fol
Citrobacter koseri,7889.606228,-2.060259706,0.416865384,Visit,Rand-fol
Clostridioides difficile,2833.798613,0.687432854,0.260363759,Visit,Rand-fol
Clostridioides difficile,66.87628638,0.6848328,0.168877254,Visit,Rand-fol
Clostridium butyricum,493.3261151,0.819822224,0.191965108,Visit,Rand-fol
Clostridium disporicum,14.47051211,1.780512924,0.426543638,Visit,Rand-fol
Clostridium paraputrificum,724.0120484,1.387232576,0.204327396,Visit,Rand-fol
Clostridium saudiense,61.21684281,1.188223474,0.171892836,Visit,Rand-fol
Clostridium sp000435835,76.85549058,1.340498278,0.172872083,Visit,Rand-fol
Clostridium sp001916075,39.0069181,0.927637415,0.165751681,Visit,Rand-fol
Clostridium sp900540255,223.5354754,1.571534849,0.192201489,Visit,Rand-fol
Clostridium sp900543325,15.63420864,0.772799209,0.147138594,Visit,Rand-fol
Clostridium sp900547475,39.52124681,0.49479057,0.147217693,Visit,Rand-fol
Clostridium sp900766315,29.98746389,0.907797557,0.154476486,Visit,Rand-fol
Clostridium tertium,431.2773804,0.677097644,0.176996349,Visit,Rand-fol
Clostridium perfringens,2201.878619,1.101449348,0.237275662,Visit,Rand-fol
Comamonas kerstersii,532.6015992,-1.332132318,0.218367058,Visit,Rand-fol
Coprobacter secundus,110.2709372,-1.523982387,0.471691725,Visit,Rand-fol
Corynebacterium aurimucosum,6856.864018,1.012793976,0.31984468,Visit,Rand-fol
Corynebacterium kefirresidentii,540.9292146,0.651506423,0.249952732,Visit,Rand-fol
Corynebacterium sp900539985,2462.877257,0.967082025,0.283625312,Visit,Rand-fol
Cronobacter malonaticus,248.3099172,-1.34425221,0.496150813,Visit,Rand-fol
Cupriavidus metallidurans,1163.508434,-1.387573994,0.287099255,Visit,Rand-fol
Cutibacterium acnes,371.2903299,-1.31217478,0.208198392,Visit,Rand-fol
Dermabacter hominis,121.280415,0.786539506,0.18741464,Visit,Rand-fol
Duncaniella sp900549445,6.859159189,-0.807895649,0.135880243,Visit,Rand-fol
Enterobacter asburiae,1027.537389,-1.536359626,0.211401615,Visit,Rand-fol
Enterobacter cancerogenus,136.6849463,-1.120585978,0.170878241,Visit,Rand-fol
Enterobacter chengduensis,1537.765751,-1.552319774,0.232589843,Visit,Rand-fol
Enterobacter cloacae,682.5384825,-1.58549413,0.200958408,Visit,Rand-fol
Enterobacter cloacae,658.8107262,-1.510567891,0.183024037,Visit,Rand-fol
Enterobacter cloacae,199.9508917,-1.269073357,0.176992368,Visit,Rand-fol
Enterobacter hormaechei,3511.391081,-1.304346596,0.457048648,Visit,Rand-fol
Enterobacter kobei,649.0693425,-1.404248048,0.462717229,Visit,Rand-fol
Enterobacter ludwigii,130.5344512,-0.9876492,0.164860908,Visit,Rand-fol
Enterobacter mori,202.6314339,-1.102280851,0.171404558,Visit,Rand-fol
Enterobacter timonensis,351.6529762,-1.556133585,0.16640821,Visit,Rand-fol
Enterobacter kobei,373.9993498,-1.613954518,0.179394635,Visit,Rand-fol
Enterococcus italicus,287.7415071,-2.319419354,0.820168318,Visit,Rand-fol
F0422 sp003999875,3723.033338,-1.340887201,0.447575432,Visit,Rand-fol
Faecalitalea cylindroides,23.91478692,0.374166828,0.143177515,Visit,Rand-fol
Finegoldia magna,31333.82391,1.171828667,0.44221552,Visit,Rand-fol
Finegoldia sp900766215,9371.31258,1.43662902,0.334131929,Visit,Rand-fol
Haemophilus parainfluenzae,157.9012421,0.700918273,0.17738813,Visit,Rand-fol
Haemophilus parainfluenzae,58.66301406,0.742250228,0.16622359,Visit,Rand-fol
Haemophilus parainfluenzae,37.72760494,0.583685959,0.163751027,Visit,Rand-fol
Haemophilus parainfluenzae,43.02258117,0.540099181,0.169865341,Visit,Rand-fol
Haemophilus parainfluenzae,73.28538919,0.681646268,0.178225104,Visit,Rand-fol
Hafnia alvei,27.78147515,-1.606776913,0.147051676,Visit,Rand-fol
KA00274 sp902373515,55.4948511,0.473463047,0.154669689,Visit,Rand-fol
Klebsiella aerogenes,3599.547729,-1.776453941,0.208611595,Visit,Rand-fol
Klebsiella pneumoniae,175650.1684,-1.936246692,0.635415312,Visit,Rand-fol
Klebsiella quasipneumoniae,10235.65839,-1.904984547,0.571868734,Visit,Rand-fol
Klebsiella quasivariicola,3213.362668,-1.596181621,0.234809325,Visit,Rand-fol
Klebsiella variicola,33877.03851,-2.351242038,0.614649254,Visit,Rand-fol
Klebsiella grimontii,4125.243859,-2.025663569,0.243311915,Visit,Rand-fol
Klebsiella indica,1186.088816,-1.483331617,0.205370778,Visit,Rand-fol
Klebsiella michiganensis,4083.906694,-1.511301877,0.248831677,Visit,Rand-fol
Klebsiella oxytoca,726.0522522,-1.288040041,0.206949,Visit,Rand-fol
Kluyvera ascorbata,1968.783493,-1.842154877,0.444676531,Visit,Rand-fol
Kluyvera ascorbata,705.8161733,-1.616352044,0.19247773,Visit,Rand-fol
Kluyvera sp902363335,201.3609954,-1.375921144,0.168555486,Visit,Rand-fol
Lachnospira sp000436475,536.5828097,0.701469417,0.182361492,Visit,Rand-fol
Lachnospira sp000437735,95.15858821,0.660866366,0.161126359,Visit,Rand-fol
Lagierella massiliensis,5109.084571,1.112849458,0.27508398,Visit,Rand-fol
Lancefieldella sp902373375,285.2560454,-0.826488767,0.213797038,Visit,Rand-fol
Laribacter hongkongensis,187.5714202,-1.400538514,0.326889403,Visit,Rand-fol
Leclercia adecarboxylata,134.0825381,-1.46251526,0.450903059,Visit,Rand-fol
Leminorella grimontii,26.05701254,-0.997880166,0.155560715,Visit,Rand-fol
Longibaculum sp900538465,193.887389,-1.329141786,0.433697421,Visit,Rand-fol
MGYG000000680,120.5930672,0.475553832,0.174550332,Visit,Rand-fol
MGYG000001112,21.10507192,0.886110593,0.156896403,Visit,Rand-fol
MGYG000001977,963.056113,-1.431802137,0.495573102,Visit,Rand-fol
MGYG000002896,10166.0937,1.515207705,0.335255279,Visit,Rand-fol
MGYG000003060,30.32702565,0.715539419,0.153412991,Visit,Rand-fol
MGYG000003735,110.9224952,-1.399095899,0.179274749,Visit,Rand-fol
MGYG000003882,349.4586666,-1.499675487,0.515590863,Visit,Rand-fol
MGYG000004180,241.9559099,-0.941675728,0.351522566,Visit,Rand-fol
MGYG000004477,19.56152323,-2.383048143,0.915757142,Visit,Rand-fol
MGYG000004582,340.9314034,0.535334858,0.191450743,Visit,Rand-fol
MGYG000004650,108.6856934,-1.211230344,0.465875181,Visit,Rand-fol
MGYG000004711,12.68477226,-1.522235583,0.457673159,Visit,Rand-fol
MGYG000004824,47.49799603,-1.41134502,0.438850297,Visit,Rand-fol
MGYG000004837,27.03306741,0.808031349,0.154136478,Visit,Rand-fol
MGYG000004852,89.15145142,0.667560443,0.144861906,Visit,Rand-fol
MGYG000004876,93.76836108,-1.518097453,0.463896938,Visit,Rand-fol
MGYG000004886,1030.892875,-1.06669395,0.230872893,Visit,Rand-fol
Mobilibacterium timonense,11.0626128,0.578867303,0.146240847,Visit,Rand-fol
Moellerella wisconsensis,140.7498777,-1.479523855,0.515755589,Visit,Rand-fol
Muribaculum intestinale,24.30899102,-1.383966325,0.489797503,Visit,Rand-fol
Muribaculum sp002358615,34.69642422,-1.159833928,0.382938824,Visit,Rand-fol
Neofamilia massiliensis,718.5468338,0.642689926,0.232232242,Visit,Rand-fol
Odoribacter massiliensis,662.8452315,-1.81859412,0.507363011,Visit,Rand-fol
OM05-12 sp900760755,112.5313171,-1.156856073,0.399711836,Visit,Rand-fol
Pantoea agglomerans,33.84466129,-1.137759012,0.148291596,Visit,Rand-fol
Pantoea ananatis,79.91663491,-1.240361854,0.474313577,Visit,Rand-fol
Pantoea anthophila,20.71331833,-0.943409568,0.145900591,Visit,Rand-fol
Pantoea brenneri,261.5147228,-1.010266348,0.179767357,Visit,Rand-fol
Pantoea conspicua,73.48842627,-1.401651205,0.437054152,Visit,Rand-fol
Pantoea sp002920175,72.20681942,-1.316389098,0.165699233,Visit,Rand-fol
Parabacteroides acidifaciens,43.50694036,-1.397835185,0.396191768,Visit,Rand-fol
Parabacteroides johnsonii,514.0882339,-1.538850596,0.443206315,Visit,Rand-fol
Parabacteroides massiliensis,183.5531385,-1.587832436,0.438963676,Visit,Rand-fol
Parabacteroides merdae,7232.182961,-1.541521562,0.541473135,Visit,Rand-fol
Parabacteroides sp014287585,121.2190034,-1.944981025,0.455356784,Visit,Rand-fol
Parabacteroides sp900547435,38.86402679,-1.353069789,0.406136551,Visit,Rand-fol
Parabacteroides sp900549585,190.5018766,-0.836255003,0.320824339,Visit,Rand-fol
Parabacteroides sp900552415,18.88386625,-1.355805483,0.490172742,Visit,Rand-fol
Parabacteroides timonensis,17.56398295,-1.504839678,0.458540215,Visit,Rand-fol
Paraclostridium sordellii,28.97705236,1.034799912,0.15218921,Visit,Rand-fol
Paraprevotella sp900760455,98.83262183,-0.91840527,0.354894309,Visit,Rand-fol
Paraprevotella xylaniphila,182.6094773,-1.028597656,0.340487614,Visit,Rand-fol
Pauljensenia radingae,393.174409,0.630303014,0.21448608,Visit,Rand-fol
Pauljensenia sp900541895,265.4479881,-1.080933913,0.181402702,Visit,Rand-fol
Peptoniphilus harei,22207.23141,1.601002235,0.333109549,Visit,Rand-fol
Peptoniphilus lacydonensis,2091.129994,1.000213038,0.243046599,Visit,Rand-fol
Peptoniphilus phoceensis,8696.578239,0.923846436,0.294655678,Visit,Rand-fol
Peptoniphilus raoultii,446.2972242,0.719661629,0.225497675,Visit,Rand-fol
Peptoniphilus senegalensis,7219.136962,1.090582851,0.303400939,Visit,Rand-fol
Peptoniphilus sp900538655,10610.96463,1.106239066,0.319198383,Visit,Rand-fol
Peptoniphilus sp902363535,9503.590121,0.981636638,0.325481479,Visit,Rand-fol
Peptoniphilus obesi,2669.07503,0.74245812,0.274849405,Visit,Rand-fol
Peptostreptococcus sp900759325,890.4411597,0.702871577,0.217206027,Visit,Rand-fol
Phocaeicola coprophilus,194.7579833,-1.761342239,0.388021651,Visit,Rand-fol
Phocaeicola salanitronis,9.180808768,-1.264721178,0.13465392,Visit,Rand-fol
Phocaeicola sp000436795,173.5474074,-1.385544056,0.421351599,Visit,Rand-fol
Phocaeicola sp900544675,26.97569287,-1.210941877,0.359700756,Visit,Rand-fol
Phocaeicola sp900551065,18.92172996,-1.379853411,0.477961724,Visit,Rand-fol
Phocaeicola sp900551645,164.4056777,-1.49897235,0.51788887,Visit,Rand-fol
Phocaeicola sp900552645,16.70300001,-1.26635782,0.368282714,Visit,Rand-fol
Phytobacter diazotrophicus,87.27156387,-1.140763126,0.161793049,Visit,Rand-fol
Phytobacter massiliensis,617.5118563,-1.382527636,0.495636217,Visit,Rand-fol
Phytobacter sp002377245,141.5016644,-1.74977099,0.158336417,Visit,Rand-fol
Phytobacter ursingii,632.4098802,-1.530772079,0.200868558,Visit,Rand-fol
Pigmentiphaga sp002188635,331.324396,-1.503189742,0.304144208,Visit,Rand-fol
Plesiomonas shigelloides,24.56920132,-0.881454351,0.145981011,Visit,Rand-fol
Pluralibacter gergoviae,221.608991,-1.301846629,0.355439313,Visit,Rand-fol
Prevotella sp900553465,49.25008192,-0.863006562,0.348786853,Visit,Rand-fol
Prevotella sp900553595,110.4052095,-0.8757195,0.339577,Visit,Rand-fol
Pseudescherichia sp002298805,178.1401664,-1.063913746,0.413638824,Visit,Rand-fol
Pseudescherichia vulneris,122.7055997,-1.048756061,0.162602482,Visit,Rand-fol
Rahnella variigena,65.36374345,-1.328601273,0.151906211,Visit,Rand-fol
Ralstonia pickettii,24886.73133,-1.737594561,0.24606031,Visit,Rand-fol
Raoultella ornithinolytica,2118.622934,-1.925946111,0.23382674,Visit,Rand-fol
Robinsoniella sp900539655,480.5270204,-1.042953001,0.400280494,Visit,Rand-fol
Romboutsia timonensis,123.5333315,1.125660249,0.184307709,Visit,Rand-fol
Roseburia intestinalis,324.6655762,0.580280162,0.192468768,Visit,Rand-fol
RUG023 sp900315435,19.740651,-1.219787779,0.449359975,Visit,Rand-fol
Salmonella enterica,728.3054429,-1.302215038,0.428470131,Visit,Rand-fol
Serratia marcescens,321.2572631,-1.747503397,0.400927271,Visit,Rand-fol
Staphylococcus capitis,82.6188554,0.506333179,0.184783418,Visit,Rand-fol
Staphylococcus haemolyticus,8806.566779,1.348370892,0.331827114,Visit,Rand-fol
Stenotrophomonas maltophilia,238.0346415,1.757243273,0.175172234,Visit,Rand-fol
Stenotrophomonas maltophilia,53.88091502,0.620424636,0.160090692,Visit,Rand-fol
Streptococcus sp900543065,3475.557331,-1.448296109,0.441771576,Visit,Rand-fol
Streptococcus sp900755085,1126.741211,-1.08515505,0.424501929,Visit,Rand-fol
Succinivibrio sp900548485,46.30783613,-1.314061172,0.36059434,Visit,Rand-fol
Superficieibacter sp900766525,277.4502266,-1.401452899,0.174680837,Visit,Rand-fol
Terrisporobacter glycolicus,31.55851363,0.423271382,0.14605978,Visit,Rand-fol
Terrisporobacter sp900557165,82.61393719,0.990655989,0.16644523,Visit,Rand-fol
TF01-11 sp001414325,101.509428,0.435272212,0.16883269,Visit,Rand-fol
UBA1232 sp900544815,193.3477671,-1.349563302,0.344060069,Visit,Rand-fol
UBA3388 sp900546465,45.27834623,-1.237149772,0.442023854,Visit,Rand-fol
UMGS1670 sp900548595,6.27029375,0.934497992,0.135419969,Visit,Rand-fol
Yersinia bercovieri,174.5917456,-1.19403462,0.165617843,Visit,Rand-fol
Yersinia intermedia,69.54655943,-0.755605919,0.168193449,Visit,Rand-fol
Yersinia kristensenii,27.2709467,-0.903963796,0.152540679,Visit,Rand-fol
Yersinia massiliensis,13.97756137,-0.940767549,0.141800149,Visit,Rand-fol
Yersinia mollaretii,17.15193504,-1.009302839,0.149839228,Visit,Rand-fol
Yersinia pestis,21.52016577,-0.707826412,0.150822226,Visit,Rand-fol
Yokenella regensburgei,90.63403389,-1.387072532,0.149967289,Visit,Rand-fol
43-108 sp001915545,23.54383679,-0.799088722,0.276046245,Visit,Dis-fol
Acetatifactor sp900766575,35.40925027,0.478923933,0.174031158,Visit,Dis-fol
Acinetobacter mesopotamicus,101.3664039,-0.915169466,0.317652785,Visit,Dis-fol
Actinomyces graevenitzii,92.46311926,0.705064721,0.187814933,Visit,Dis-fol
Actinomyces oris,82.45008328,1.50862353,0.532722555,Visit,Dis-fol
Agathobacter faecis,1436.093486,1.067571478,0.24614517,Visit,Dis-fol
Agathobacter rectalis,4331.734367,0.929530086,0.242699039,Visit,Dis-fol
Agathobacter sp900546625,500.3878122,1.225188841,0.236471549,Visit,Dis-fol
Agathobacter sp900548765,18.91663024,0.502237271,0.167025612,Visit,Dis-fol
Alistipes sp900549685,21.22845063,-1.363001372,0.4534997,Visit,Dis-fol
Anaerobutyricum soehngenii,1351.806746,0.604813569,0.245768771,Visit,Dis-fol
Anaerostipes hadrus,2822.482974,2.393368206,0.602068379,Visit,Dis-fol
Anaerostipes hadrus,171.4176532,1.038072714,0.202580278,Visit,Dis-fol
Anaerostipes sp900066705,287.2572416,0.526357058,0.206448001,Visit,Dis-fol
Anaerotruncus massiliensis,219.7662483,-1.214583696,0.461810844,Visit,Dis-fol
Atlantibacter hermannii,172.7950279,-1.511702952,0.402495603,Visit,Dis-fol
Bacteroides bouchesdurhonensis,1099.2829,-1.187590126,0.359196311,Visit,Dis-fol
Bacteroides caccae,8005.794741,-2.048233326,0.53306674,Visit,Dis-fol
Bacteroides cellulosilyticus,936.6521117,-1.167341396,0.438711616,Visit,Dis-fol
Bacteroides eggerthii,431.2788513,-1.528176059,0.449963678,Visit,Dis-fol
Bacteroides fluxus,341.5185156,-1.387971825,0.389674995,Visit,Dis-fol
Bacteroides graminisolvens,18.19746023,-0.929993075,0.346751009,Visit,Dis-fol
Bacteroides ndongoniae,34.4038004,-0.877661869,0.36075572,Visit,Dis-fol
Bacteroides neonati,61.53497834,-0.763929727,0.317786106,Visit,Dis-fol
Bacteroides nordii,683.8992031,-1.130666135,0.449173889,Visit,Dis-fol
Bacteroides oleiciplenus,445.0013914,-1.18111801,0.365729443,Visit,Dis-fol
Bacteroides pyogenes,98.22102031,-0.675490507,0.277977614,Visit,Dis-fol
Bacteroides salyersiae,489.0750779,-1.486242451,0.407110003,Visit,Dis-fol
Bacteroides sp002491635,788.9596444,-1.773712247,0.423708337,Visit,Dis-fol
Bacteroides sp900553815,26.11867605,-1.086871576,0.360536715,Visit,Dis-fol
Bacteroides sp900761785,2611.035588,-1.11063603,0.430025315,Visit,Dis-fol
Bacteroides sp900765785,2831.412092,-1.563075735,0.471805196,Visit,Dis-fol
Bacteroides sp900766195,80.53324341,-1.095672646,0.321677603,Visit,Dis-fol
Bacteroides stercorirosoris,837.6465194,-1.166697709,0.406784139,Visit,Dis-fol
Bacteroides togonis,65.35469775,-1.021128697,0.384737485,Visit,Dis-fol
Bacteroides uniformis,18904.68207,-1.679307056,0.499173847,Visit,Dis-fol
